sample,fastq_1,fastq_2,replicate
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_1_MMG10447_S30_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_1_MMG10447_S30_R2_001.fastq.gz,1
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_2_MMG10447_S39_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_unst_day0_2_MMG10447_S39_R2_001.fastq.gz,1
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_day0_MMG10447_S18_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_day0_MMG10447_S18_R2_001.fastq.gz,2
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_day0_MMG10447_S12_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_day0_MMG10447_S12_R2_001.fastq.gz,3
unst_0,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_day0_MMG10447_S24_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_day0_MMG10447_S24_R2_001.fastq.gz,4
unst_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_24h_MMG10447_S19_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_unst_24h_MMG10447_S19_R2_001.fastq.gz,1
unst_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_24h_MMG10447_S13_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_unst_24h_MMG10447_S13_R2_001.fastq.gz,2
unst_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_24h_MMG10447_S25_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_unst_24h_MMG10447_S25_R2_001.fastq.gz,3
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_1_MMG10447_S33_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_1_MMG10447_S33_R2_001.fastq.gz,1
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_2_MMG10447_S42_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_24h_2_MMG10447_S42_R2_001.fastq.gz,1
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_BCR_24h_MMG10447_S21_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_BCR_24h_MMG10447_S21_R2_001.fastq.gz,2
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_BCR_24h_MMG10447_S15_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_BCR_24h_MMG10447_S15_R2_001.fastq.gz,3
BCR_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_BCR_24h_MMG10447_S27_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_BCR_24h_MMG10447_S27_R2_001.fastq.gz,4
BCR_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_72h_1_MMG10447_S34_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_72h_1_MMG10447_S34_R2_001.fastq.gz,1
BCR_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_72h_2_MMG10447_S43_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_BCR_72h_2_MMG10447_S43_R2_001.fastq.gz,1
DN2_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_24h_1_MMG10447_S37_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_24h_1_MMG10447_S37_R2_001.fastq.gz,1
DN2_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_24h_2_MMG10447_S46_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_24h_2_MMG10447_S46_R2_001.fastq.gz,1
DN2_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_DN2_24h_MMG10447_S23_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_DN2_24h_MMG10447_S23_R2_001.fastq.gz,2
DN2_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_DN2_24h_MMG10447_S17_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_DN2_24h_MMG10447_S17_R2_001.fastq.gz,3
DN2_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_DN2_24h_MMG10447_S29_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_DN2_24h_MMG10447_S29_R2_001.fastq.gz,4
DN2_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_72h_1_MMG10447_S38_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_72h_1_MMG10447_S38_R2_001.fastq.gz,1
DN2_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_72h_2_MMG10447_S47_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_DN2_72h_2_MMG10447_S47_R2_001.fastq.gz,1
IL4_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_24h_1_MMG10447_S31_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_24h_1_MMG10447_S31_R2_001.fastq.gz,1
IL4_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_24h_2_MMG10447_S40_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_24h_2_MMG10447_S40_R2_001.fastq.gz,1
IL4_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_IL4_24h_MMG10447_S20_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_IL4_24h_MMG10447_S20_R2_001.fastq.gz,2
IL4_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_IL4_24h_MMG10447_S14_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_IL4_24h_MMG10447_S14_R2_001.fastq.gz,3
IL4_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_IL4_24h_MMG10447_S26_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_IL4_24h_MMG10447_S26_R2_001.fastq.gz,4
IL4_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_72h_1_MMG10447_S32_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_72h_1_MMG10447_S32_R2_001.fastq.gz,1
IL4_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_72h_2_MMG10447_S41_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_IL4_72h_2_MMG10447_S41_R2_001.fastq.gz,1
TLR7_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_24h_1_MMG10447_S35_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_24h_1_MMG10447_S35_R2_001.fastq.gz,1
TLR7_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_24h_2_MMG10447_S44_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_24h_2_MMG10447_S44_R2_001.fastq.gz,1
TLR7_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_TLR7_24h_MMG10447_S22_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10059706_TLR7_24h_MMG10447_S22_R2_001.fastq.gz,2
TLR7_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_TLR7_24h_MMG10447_S16_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10061340_TLR7_24h_MMG10447_S16_R2_001.fastq.gz,3
TLR7_24,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_TLR7_24h_MMG10447_S28_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_10098629_TLR7_24h_MMG10447_S28_R2_001.fastq.gz,4
TLR7_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_72h_1_MMG10447_S36_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_72h_1_MMG10447_S36_R2_001.fastq.gz,1
TLR7_72,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_72h_2_MMG10447_S45_R1_001.fastq.gz,/lab-share/IM-Gutierrez-e2/Public/Lab_datasets/B_cells_atac/data/fq_files/20221025_3donors_TLR7_72h_2_MMG10447_S45_R2_001.fastq.gz,1